"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:673OnqT7JuOTkxyfa0BT0t","Things I've Seen","spotify:artist:5UEdalZXwxU3mzNl1xWr5y, spotify:artist:1k0PI7DPUewud9LeaxM9m6","The Spooks, Jay Kulkalski","spotify:album:6MP9Ve00hzh3oIeMiecE9R","S.I.O.S.O.S.: Volume One (Digitally Remastered)","spotify:artist:5UEdalZXwxU3mzNl1xWr5y","The Spooks","2012-10-24","https://i.scdn.co/image/ab67616d0000b273cd12caf7cfa9b3d4e94187c6","1","3","273973","https://p.scdn.co/mp3-preview/00a85637857f5597c4a9dc1ac786ef94f35cf4dd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","USGZ21243131","","2025-07-12T11:21:25Z"
"spotify:track:3u2IrwgaWOQpHJN074qnuC","I Get By","spotify:artist:14ZxDAK6ITtZZqPdiWrvSn","Everlast","spotify:album:7l4NiaTtk8ttDNdH6y7PHK","Songs of the Ungrateful Living","spotify:artist:14ZxDAK6ITtZZqPdiWrvSn","Everlast","2012-02-24","https://i.scdn.co/image/ab67616d0000b273d004919aa5a7c79951370e01","1","3","218656","https://p.scdn.co/mp3-preview/8b9f8fb9366114bedbdda5770ba9ae1bc8206767?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","DEA451200260","","2025-07-12T10:39:39Z"
"spotify:track:52UthFOfrbtnjBMK6jyLqk","Nothing is Safe","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","spotify:album:0xeEJgJP2Mkyr3dMKbCQP3","There Existed an Addiction to Blood","spotify:artist:5HJ2kX5UTwN4Ns8fB5Rn1I","clipping.","2019-10-18","https://i.scdn.co/image/ab67616d0000b2734d1c35edb0aafeb16ef7c7df","1","2","297249","https://p.scdn.co/mp3-preview/81724bff738172759a8f522fef7270afe06a524b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","USSUB1933002","","2025-07-12T10:11:59Z"
"spotify:track:2Bpt5A6WtJtuarPMNniwUT","Lonely","spotify:artist:13yy1c4aDXIWu2zfvtvGLn","Brad Sucks","spotify:album:6UZrhDrK7qSh4qOzfu77fe","A New Low in Hi-Fi","spotify:artist:13yy1c4aDXIWu2zfvtvGLn","Brad Sucks","2021-06-10","https://i.scdn.co/image/ab67616d0000b2733e04b7e34e86b37eb631d325","1","10","145893","https://p.scdn.co/mp3-preview/753fbbe54b067d6e9662d0671239952d9a0b6048?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","QZHN71939328","","2025-07-12T09:38:48Z"
"spotify:track:0aRP8kxM5S3vOGBf3gNYx9","I Wish I Knew Natalie Portman","spotify:artist:3EZWlSBWlPsC8lCI2Y36Gl","K-OS","spotify:album:2ay4iE7JDMWqCrND5mk5OT","Yes!","spotify:artist:3EZWlSBWlPsC8lCI2Y36Gl","K-OS","2009-01-01","https://i.scdn.co/image/ab67616d0000b2738d80af1f5d3414a6b0254b55","1","5","189973","https://p.scdn.co/mp3-preview/b5d9c056fe9e8e5fdfa9f33bd24c626b94784223?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","CA2MJ0900015","","2025-07-10T21:27:16Z"
"spotify:track:4AeHVSAG34QEGMqXbCFyvQ","Cowboy","spotify:artist:6fSNDuge2fLINdnCCbpZx6","Omar LinX","spotify:album:1HnuW219PYC4o7GVKvTULw","City Of Ommz","spotify:artist:6fSNDuge2fLINdnCCbpZx6","Omar LinX","2011-07-12","https://i.scdn.co/image/ab67616d0000b2737c583bca8ed1860ac94c9eeb","1","6","261260","https://p.scdn.co/mp3-preview/ee079f2dfcc84f3cea9d7ed38db0a85efbf4e283?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","CA5CL1000006","","2025-07-10T21:16:30Z"
"spotify:track:2zpQ30BpR6teeCeivQoo5p","Motherlover","spotify:artist:1f5GqyOPo0CkotzzRwviBu, spotify:artist:31TPClRtHm23RisEBtV3X7","The Lonely Island, Justin Timberlake","spotify:album:4IMJWEfkidwtzLanLMAtLP","Turtleneck & Chain (Explicit Version)","spotify:artist:1f5GqyOPo0CkotzzRwviBu","The Lonely Island","2011-01-01","https://i.scdn.co/image/ab67616d0000b27351adf6c40da8c3e2635893e9","1","12","169506","https://p.scdn.co/mp3-preview/c5270544352bd3fd5014b9edaad30e93cca6872b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USUM71105307","","2025-07-04T19:04:26Z"
"spotify:track:54CPnVfOQiDo4mnd07yLK8","Doesn't Make It Alright - 2015 Remaster","spotify:artist:6xnvNmSzmeOE1bLKnYXKW3","The Specials","spotify:album:2OHPxPTasGkolt8lFDxCpE","The Specials (Deluxe Version)","spotify:artist:6xnvNmSzmeOE1bLKnYXKW3","The Specials","1979-11-01","https://i.scdn.co/image/ab67616d0000b273675b974d0ada890c41804e99","1","6","206080","https://p.scdn.co/mp3-preview/79f8b92e0c23a8899d0823c28d04aea140239bf4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBAYK1400006","","2025-07-04T16:54:55Z"
"spotify:track:7tEoJKbYdIHBfn7tTIyjHW","Drug Ballad","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","13","300266","https://p.scdn.co/mp3-preview/269c5bff0e49fab7e576c8e7b6af49d4ab294432?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USIR10000587","","2025-07-02T17:00:21Z"
"spotify:track:23wfXwnsPZYe5A1xXRHb3J","The Way I Am","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","7","290426","https://p.scdn.co/mp3-preview/5e73b6e2959e9ef8f01a5cbe3545f55dacc6780c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USIR10000589","","2025-07-02T16:37:10Z"
