,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,track_id
2277,d3a8c276-20c1-4b74-aa5c-ae4ef76ce9e2,0.0985,0.377,0.734,0.0,0.0942,-3.645,0.0334,169.988,0.393,d3a8c276-20c1-4b74-aa5c-ae4ef76ce9e2
2278,b1e31278-9227-46f7-976b-eb8035cfbc14,0.0579,0.471,0.721,0.0,0.094,-3.496,0.0277,92.882,0.3,b1e31278-9227-46f7-976b-eb8035cfbc14
2279,fc59d609-f2b1-40b1-b287-2fcbc0b186c8,0.014,0.547,0.922,0.000117,0.0598,-3.893,0.0738,112.66,0.366,fc59d609-f2b1-40b1-b287-2fcbc0b186c8
2280,4a0ed68e-81bb-4e9a-9e24-6e3b42e7af77,0.0929,0.5,0.513,2.87e-06,0.106,-4.725,0.03,131.473,0.256,4a0ed68e-81bb-4e9a-9e24-6e3b42e7af77
2281,c74b1158-212c-4178-87be-8976d6dab725,0.176,0.48,0.966,6.44e-06,0.27,-2.64,0.102,172.372,0.719,c74b1158-212c-4178-87be-8976d6dab725
2282,2702e4af-eeaf-402a-9fff-c54bcfbb0cfc,0.01,0.426,0.949,0.00434,0.377,-3.231,0.0631,122.241,0.339,2702e4af-eeaf-402a-9fff-c54bcfbb0cfc
2283,f309086a-7082-4cbc-bedf-eabc4f9a4e09,0.0242,0.521,0.892,0.681,0.0667,-6.905,0.115,164.049,0.299,f309086a-7082-4cbc-bedf-eabc4f9a4e09
2284,025ccb61-5711-4541-97ec-6f0408e14806,0.0108,0.442,0.995,0.0,0.33,-1.674,0.126,127.02,0.639,025ccb61-5711-4541-97ec-6f0408e14806
2285,dd0784e3-688e-4af6-bb29-b6970380877e,0.0115,0.549,0.84,0.751,0.142,-8.935,0.0392,100.026,0.546,dd0784e3-688e-4af6-bb29-b6970380877e
2286,34e6abab-2734-436d-9d03-d2e137c721c5,0.2,0.685,0.787,0.0,0.328,-4.402,0.0398,89.659,0.652,34e6abab-2734-436d-9d03-d2e137c721c5
2287,a045e7de-2898-4ade-ab2a-cf07603ef39c,0.00417,0.504,0.96,0.569,0.0613,-1.464,0.183,96.682,0.774,a045e7de-2898-4ade-ab2a-cf07603ef39c
2288,416d2204-2ee6-4fa2-bba9-53a06054a6fa,0.00107,0.343,0.983,0.296,0.0708,-2.359,0.212,124.536,0.186,416d2204-2ee6-4fa2-bba9-53a06054a6fa
2289,24a49bb6-63f6-40de-bc62-57056233dcad,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,88.969,0.547,24a49bb6-63f6-40de-bc62-57056233dcad
2290,8ce54861-ccaa-4a95-8ec1-432ed03c5b02,0.000204,0.283,0.982,0.0756,0.0627,-0.32,0.0703,124.149,0.438,8ce54861-ccaa-4a95-8ec1-432ed03c5b02
2291,a8c12d39-1f2c-4315-a838-e4d79e427e2e,0.443,0.371,0.259,0.00384,0.0752,-11.352,0.0312,140.425,0.0467,a8c12d39-1f2c-4315-a838-e4d79e427e2e
2292,25f50161-0d66-4273-85cf-d3fd4ed20db6,5.08e-05,0.354,0.964,0.203,0.326,-1.822,0.0973,113.079,0.526,25f50161-0d66-4273-85cf-d3fd4ed20db6
2293,635e50a7-642f-4dae-b855-32cd97ad1713,0.0113,0.712,0.969,0.0319,0.0904,-1.503,0.161,105.077,0.802,635e50a7-642f-4dae-b855-32cd97ad1713
2294,b5160f69-9ee8-4439-8f5e-6acc707f5181,0.00124,0.241,0.824,5.83e-06,0.0955,-2.785,0.0479,83.663,0.2,b5160f69-9ee8-4439-8f5e-6acc707f5181
2295,cc21a77d-e22a-4520-ab11-2dd793a5a8b3,0.0157,0.554,0.875,0.00422,0.0852,-1.372,0.104,100.988,0.821,cc21a77d-e22a-4520-ab11-2dd793a5a8b3
2296,6a9493b3-8d2d-4cb7-a95d-6b9d64339acc,0.309,0.243,0.47,0.000798,0.121,-8.194,0.0353,204.026,0.393,6a9493b3-8d2d-4cb7-a95d-6b9d64339acc
2297,5daf6e36-8abf-4e41-a1a1-2d542bbaee03,0.00719,0.628,0.918,0.452,0.0353,-3.431,0.0326,99.057,0.735,5daf6e36-8abf-4e41-a1a1-2d542bbaee03
2298,0b7187f3-0b43-42c8-9126-e695db8ffe6c,0.016,0.535,0.831,0.000312,0.0676,-4.869,0.069,110.731,0.834,0b7187f3-0b43-42c8-9126-e695db8ffe6c
2299,af17351d-43ec-495a-96be-ad48d8887c6b,0.437,0.665,0.393,0.796,0.116,-12.425,0.0265,92.027,0.223,af17351d-43ec-495a-96be-ad48d8887c6b
2300,21f99474-fb04-4731-990c-625f62350ebc,0.0105,0.628,0.654,0.49,0.157,-8.866,0.0431,158.02,0.542,21f99474-fb04-4731-990c-625f62350ebc
2301,49827e55-1c34-457e-9fa9-8ae6d8ee1464,0.495,0.72,0.358,0.0354,0.186,-9.776,0.0351,100.044,0.59,49827e55-1c34-457e-9fa9-8ae6d8ee1464
2302,25127a41-8129-40f0-9f5a-743ab8675712,0.876,0.695,0.384,0.000467,0.102,-15.257,0.0345,115.009,0.375,25127a41-8129-40f0-9f5a-743ab8675712
2303,2cd516c0-20e8-484a-9e37-6739decab469,0.414,0.81,0.591,0.799,0.072,-13.385,0.0638,136.028,0.297,2cd516c0-20e8-484a-9e37-6739decab469
2304,8d9ca0ed-76f7-440e-abe3-cfcff3f0bf8f,0.038,0.652,0.359,0.789,0.119,-10.197,0.0989,140.025,0.672,8d9ca0ed-76f7-440e-abe3-cfcff3f0bf8f
2305,6c5b036f-445d-41ce-b842-04ed4f19c8fe,0.0318,0.646,0.433,0.667,0.114,-11.97,0.0351,146.113,0.234,6c5b036f-445d-41ce-b842-04ed4f19c8fe
2306,aa053254-9481-4d43-ba40-7a8b0811ad15,0.162,0.836,0.811,0.814,0.0818,-9.228,0.0515,126.017,0.534,aa053254-9481-4d43-ba40-7a8b0811ad15
2307,3c22ec77-3924-463d-ab29-4ce2c3ddca83,0.404,0.317,0.376,0.372,0.0664,-16.929,0.134,159.314,0.122,3c22ec77-3924-463d-ab29-4ce2c3ddca83
2308,7dcfc159-ed99-4fa7-a8a6-370929e5231b,0.0788,0.464,0.77,0.222,0.353,-7.567,0.0617,103.67,0.494,7dcfc159-ed99-4fa7-a8a6-370929e5231b
2309,51d13137-5ec8-4cdc-8841-d62d0a12eae6,0.0113,0.644,0.758,0.53,0.176,-9.642,0.0483,136.004,0.0374,51d13137-5ec8-4cdc-8841-d62d0a12eae6
2310,14db08f5-d5cd-4bd3-af17-5e2046aabf63,0.00636,0.496,0.823,0.0,0.564,-2.699,0.0316,112.912,0.367,14db08f5-d5cd-4bd3-af17-5e2046aabf63
